zipcode,state,income,cbsa_income,state_income,latitude,longitude
45248,OH,94971,90079,79470,39.16,-84.66
45249,OH,153458,90079,79470,39.28,-84.33
45250,OH,1000000,90079,79470,39.13,-84.52
45251,OH,78297,90079,79470,39.27,-84.6
45252,OH,115614,90079,79470,39.27,-84.63
45253,OH,1000000,90079,79470,39.13,-84.52
45254,OH,1000000,90079,79470,39.13,-84.52
45255,OH,106508,90079,79470,39.06,-84.33
45258,OH,1000000,90079,79470,39.13,-84.52
45262,OH,1000000,90079,79470,39.13,-84.52
45263,OH,1000000,90079,79470,39.13,-84.52
45264,OH,1000000,null,79470,39.13,-84.52
45267,OH,1000000,90079,79470,39.13,-84.52
45268,OH,1000000,null,79470,39.13,-84.52
45269,OH,1000000,null,79470,39.13,-84.52
45270,OH,1000000,null,79470,39.13,-84.52
45271,OH,1000000,null,79470,39.13,-84.52
45273,OH,1000000,null,79470,39.13,-84.52
45274,OH,1000000,null,79470,39.13,-84.52
45275,OH,1000000,90079,79470,39.13,-84.52
45277,OH,1000000,null,79470,39.13,-84.52
45280,OH,1000000,null,79470,39.15,-84.45
45296,OH,1000000,null,79470,39.13,-84.52
45298,OH,1000000,null,79470,39.13,-84.52
45299,OH,1000000,null,79470,39.13,-84.52
45301,OH,1000000,80365,79470,39.71,-84.02
45302,OH,88813,82974,79470,40.39,-84.17
45303,OH,72768,72285,79470,40.21,-84.63
45304,OH,78151,80365,79470,39.99,-84.55
45305,OH,127377,80365,79470,39.64,-84.08
45306,OH,84087,85545,79470,40.46,-84.18
45307,OH,47917,80365,79470,39.58,-83.72
45308,OH,69313,80365,79470,40.13,-84.42
45309,OH,82929,80365,79470,39.83,-84.41
45310,OH,81563,86785,79470,40.35,-84.64
45311,OH,70625,null,79470,39.63,-84.64
45312,OH,76875,80365,79470,40.05,-84.12
45314,OH,90313,80365,79470,39.74,-83.81
45315,OH,103438,80365,79470,39.86,-84.35
45316,OH,110313,80365,79470,39.8,-83.83
45317,OH,100665,82974,79470,40.14,-84.03
45318,OH,73061,80365,79470,40.11,-84.35
45319,OH,89167,67092,79470,39.92,-83.94
45320,OH,77387,null,79470,39.74,-84.63
45321,OH,65440,null,79470,39.9,-84.67
45322,OH,83588,80365,79470,39.86,-84.3
45323,OH,86786,67092,79470,39.85,-83.93
45324,OH,69029,80365,79470,39.8,-84.01
45325,OH,88000,80365,79470,39.67,-84.42
45326,OH,83229,82974,79470,40.14,-84.11
45327,OH,89259,90079,79470,39.63,-84.36
45328,OH,57917,72285,79470,40.12,-84.5
45330,OH,74952,null,79470,39.65,-84.53
45331,OH,67171,72285,79470,40.1,-84.62
45332,OH,42500,72285,79470,39.99,-84.79
45333,OH,86083,82974,79470,40.24,-84.35
45334,OH,74615,85545,79470,40.43,-84.03
45335,OH,86114,80365,79470,39.65,-83.74
45336,OH,64000,82974,79470,40.44,-84.26
45337,OH,84911,80365,79470,39.99,-84.4
45338,OH,71739,80365,79470,39.84,-84.54
45339,OH,96897,80365,79470,39.99,-84.33
45340,OH,82000,82974,79470,40.35,-84.06
45341,OH,56193,67092,79470,39.87,-84.02
45342,OH,85992,90079,79470,39.63,-84.27
45343,OH,1000000,80365,79470,39.63,-84.27
45344,OH,75536,80365,79470,39.94,-84.02
45345,OH,71214,80365,79470,39.74,-84.4
45346,OH,70293,72285,79470,39.96,-84.7
45347,OH,80597,72285,79470,39.85,-84.79
45348,OH,94514,86785,79470,40.33,-84.64
45349,OH,78750,67092,79470,39.99,-83.94
45350,OH,113906,72285,79470,40.32,-84.57
45351,OH,104375,72285,79470,40.34,-84.49
45352,OH,44464,72285,79470,40.05,-84.74
45353,OH,1000000,82974,79470,40.29,-84.04
45354,OH,66964,80365,79470,39.91,-84.4
45356,OH,71213,82974,79470,40.14,-84.25
45358,OH,70000,72285,79470,39.99,-84.49
45359,OH,67171,80365,79470,40.05,-84.34
45360,OH,66094,82974,79470,40.33,-84.09
45361,OH,53750,80365,79470,39.96,-84.41
